src_host,dest_host,timestamp,delay_mean,delay_median,delay_sd
perfsonar-ps.ndgf.org,hepsonar2.ph.liv.ac.uk,1570238106000,14.89916666666667,14.89,0.07587032065014326
perfsonar-ps.ndgf.org,hepsonar2.ph.liv.ac.uk,1570238166000,14.891633333333338,14.89,0.06064101105870696
perfsonar-ps.ndgf.org,hepsonar2.ph.liv.ac.uk,1570238046000,14.97498333333334,14.97,0.05811482646928886
perfsonar02-iep-grid.saske.sk,iut2-net1.iu.edu,1570238060000,57.44983333333332,57.44,0.08076904660133671
lhcperfmon.bnl.gov,clrperf-owamp.in2p3.fr,1570238133000,198.87259999999992,299.555,22.22097371643886
psl01-gva.cern.ch,perfsonar-ps-01.desy.de,1570238184000,13.382249999999997,13.37,0.11052045436629969
ps-latency.hepnetcanada.ca,perfsonar-ps.ndgf.org,1570238061000,83.06656666666669,83.05,0.11677562055307414
lcg-lat.sfu.computecanada.ca,psl01.pic.es,1570238120000,79.88719999999999,79.88,0.07303761587930821
psnr-farm10.slac.stanford.edu,iut2-net1.iu.edu,1570238148000,24.327216666666665,24.32,0.03638799786865012
ps.truba.gov.tr,psl01.pic.es,1570238037000,40.33946666666667,40.33,0.13135339948229566
iut2-net1.iu.edu,psmsu01.aglt2.org,1570238115000,5.4789666666666665,5.47,0.16729693827310638
perfsonar-latency.grid.pub.ro,perfsonar-ps.ndgf.org,1570237902000,25.406116666666666,25.4,0.18328053103250105
perfmon.dur.scotgrid.ac.uk,heplnx129.pp.rl.ac.uk,1570238064000,4.410716666666666,4.39,0.10299831578989802
iut2-net1.iu.edu,btw-lat.grid.kiae.ru,1570238140000,66.93944999999998,66.93,0.054661358990302084
psl.hpc.utfsm.cl,perfsonar-ps.ndgf.org,1570238082000,123.01765000000002,122.93,0.4225817208935253
lcg-lat.sfu.computecanada.ca,llrpsonar1.in2p3.fr,1570238110000,85.70395,85.68,0.13272740548457423
perfsonar02-iep-grid.saske.sk,psl.hpc.utfsm.cl,1570238036000,126.35051666666666,126.19,0.5726053612412503
epgperf.ph.bham.ac.uk,sampaps02.if.usp.br,1570238097000,106.16671666666667,106.15,0.09865454739758463
epgperf.ph.bham.ac.uk,sampaps02.if.usp.br,1570238157000,106.17276666666666,106.15,0.36497216179989517
iut2-net1.iu.edu,psl01-gva.cern.ch,1570238144000,54.02876666666667,54.03,0.030030188514596764
lcg-pslat.uw.computecanada.ca,perfsonar-ps-01.desy.de,1570238101000,64.74105,64.73,0.11046597138183947
atrogr007.nipne.ro,tech-ps.hep.technion.ac.il,1570238081000,49.64256666666666,49.64,0.0369244122799838
atrogr007.nipne.ro,tech-ps.hep.technion.ac.il,1570238141000,49.62439999999999,49.62,0.03564603764796301
pship01.csc.fi,ps1.kipt.kharkov.ua,1570238138000,43.79605,43.79,0.05953064336961263
psnr-farm10.slac.stanford.edu,psl01-gva.cern.ch,1570238129000,73.94611666666665,73.95,0.022673473242731414
hepsonar2.ph.liv.ac.uk,lpnhe-psl.in2p3.fr,1570238023000,4.995499999999997,4.35,1.5661975450114838
llrpsonar1.in2p3.fr,atlas-npt1.bu.edu,1570237924000,35.74078333333334,35.71,0.15189871534092142
t2-pfsn2.jinr.ru,llrpsonar1.in2p3.fr,1570238066000,94.85986666666669,125.805,37.09210368774225
lhcperfmon.bnl.gov,ps-gsdc01.sdfarm.kr,1570238123000,113.99828333333336,114.0,0.04979845769588534
